url;titulo;subeditoria;data;resumo;texto_completo;imagem
https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/46398-ibge-realiza-workshop-de-experiencias-de-censos-de-populacao-em-situacao-de-rua;IBGE realiza Workshop de Experiências de Censos de População em Situação de Rua;IBGE;10/04/2026;O IBGE realiza, de 13 a 15 de abril, no Rio de Janeiro, o Workshop de Experiências de Censos de População em Situação de Rua, reunindo representantes...;;https://agenciadenoticias.ibge.gov.br/images/agenciadenoticias/ibge/2026_04/_MG_9854_2.jpg
https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/46378-transportes-e-alimentacao-elevam-o-ipca-de-marco-para-0-88;Transportes e alimentação elevam o IPCA de março para 0,88%;IPCA;10/04/2026;Em março, o Índice Nacional de Preços ao Consumidor Amplo (IPCA) foi a 0,88%, superando em 0,18 ponto percentual (p.p.) o índice de fevereiro (0,70%)....;;https://agenciadenoticias.ibge.gov.br/images/agenciadenoticias/estatisticas_economicas/2026_04/ipca-noticia-home.jpg
https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/46380-precos-da-construcao-avancam-0-37-em-marco-com-destaque-para-regiao-nordeste;Preços da construção avançam 0,37% em março, com destaque para Região Nordeste;Sinapi;10/04/2026;O Índice Nacional da Construção Civil (SINAPI) avançou 0,37% em março de 2026, ficando 0,14 ponto percentual acima da taxa de fevereiro (0,23%)....;;https://agenciadenoticias.ibge.gov.br/images/agenciadenoticias/estatisticas_economicas/2026_04/SINAPI_CORTE_Roberto_Dziura_Jr_AEN.jpg
https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/46381-ibge-reune-ministerios-entidades-e-movimentos-sociais-em-reuniao-sobre-acoes-de-comunicacao-e-disseminacao-do-censo-agro;IBGE reúne ministérios, entidades e movimentos sociais em reunião sobre ações de comunicação e disseminação do Censo Agro;12º Censo Agro;09/04/2026;A Coordenação de Comunicação Social do Instituto Brasileiro de Geografia e Estatística (IBGE) realizou, nesta quinta-feira (09/04), a primeira reunião...;;https://agenciadenoticias.ibge.gov.br/images/agenciadenoticias/ibge/2026_04/reuniao-comunicacao-censo-agro_2.jpeg
https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/46358-producao-industrial-avanca-0-9-e-cresce-em-11-dos-15-locais-pesquisados-em-fevereiro;Produção industrial avança 0,9% e cresce em 11 dos 15 locais pesquisados em fevereiro;Indústria regional;09/04/2026;Na passagem de janeiro para fevereiro, a produção industrial brasileira cresceu 0,9%, na série livre de influências sazonais, com 11 dos 15 locais...;;https://agenciadenoticias.ibge.gov.br/images/agenciadenoticias/estatisticas_economicas/2026_04/PIM-Reg_Rodrigo-Felix-Lea_Arquivo-AEN.jpg
https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/46362-ibge-participa-do-1-encontro-internacional-conquista-ods-e-debate-indicadores-para-a-agenda-2030;IBGE participa do 1º Encontro Internacional Conquista ODS e debate indicadores para a Agenda 2030;IBGE;08/04/2026;Vitória da Conquista, no sudoeste da Bahia, será palco de um amplo debate sobre desenvolvimento sustentável com a realização do 1º Encontro Internacional...;;https://agenciadenoticias.ibge.gov.br/images/agenciadenoticias/ibge/2026_04/vitoriadaconquista.jpg
https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/46343-presidente-do-ibge-participa-do-ato-em-defesa-dos-dados-oficiais-e-da-soberania-nacional-organizados-pelas-centrais-sindicais-e-dieese;Presidente do IBGE participa do ato em defesa dos dados oficiais e da soberania nacional organizado pelas centrais sindicais e Dieese;;06/04/2026;O presidente do Instituto Brasileiro de Geografia e Estatística (IBGE), Marcio Pochmann, participou do debate sobre a defesa da soberania nacional...;;https://agenciadenoticias.ibge.gov.br/images/agenciadenoticias/ibge/2026_04/defesa_dados_01.jpeg
https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/46331-ibge-disponibiliza-agenda-semanal-com-programacoes-para-os-dias-6-a-10-de-abril;IBGE disponibiliza Agenda semanal com programações para os dias 6 a 10 de abril;;06/04/2026;O Instituto Brasileiro de Geografia e Estatística (IBGE) disponibilizou hoje (6) a Agenda IBGE para a semana dos dias 6 a 10 de abril. A edição contempla...;;https://agenciadenoticias.ibge.gov.br/images/agenciadenoticias/ibge/2024_02/Agenda-IBGE_THUMB.jpg
https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/46319-governo-discute-novo-modelo-estatistico-com-base-em-registros-administrativos-e-articulacao-de-dados;IBGE lidera debate sobre novo modelo de produção estatística baseado em registros administrativos no Brasil;Programa IBGE e Serpro;02/04/2026;O Brasil avança na construção de um novo modelo de produção estatística baseado no uso integrado de registros administrativos. A agenda foi debatida...;;https://agenciadenoticias.ibge.gov.br/images/agenciadenoticias/ibge/2026_04/serpro3a.jpg
https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/46311-industria-nacional-avanca-0-9-em-fevereiro-segunda-taxa-positiva-consecutiva;Indústria nacional avança 0,9% em fevereiro, segunda taxa positiva consecutiva;Indústria nacional;02/04/2026;A produção industrial registrou o segundo crescimento consecutivo, ao avançar 0,9% na passagem de janeiro para fevereiro. Com isto, a indústria acumula...;;https://agenciadenoticias.ibge.gov.br/images/agenciadenoticias/estatisticas_economicas/2026_04/PIM-BR-CORTE-AEN-PR.jpg
https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/46313-presidente-do-ibge-marcio-pochmann-e-recebido-pelo-novo-ministro-do-planejamento-e-orcamento-bruno-moretti;Presidente do IBGE, Marcio Pochmann, é recebido pelo novo ministro do Planejamento e Orçamento, Bruno Moretti;IBGE;01/04/2026;O presidente do Instituto Brasileiro de Geografia e Estatística (IBGE), Marcio Pochmann, realizou uma reunião com o novo ministro do Planejamento...;;https://agenciadenoticias.ibge.gov.br/images/agenciadenoticias/ibge/2026_04/pochmann_mpo.jpg
https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/46310-ibge-nao-reconhece-mapa-publicado-por-afiliada-da-tv-globo-em-sergipe;IBGE não reconhece mapa publicado por afiliada da TV Globo em Sergipe;IBGE;01/04/2026;O Instituto Brasileiro de Geografia e Estatística (IBGE) vem a público esclarecer que não reconhece como oficial o mapa veiculado em reportagem exibida...;;https://agenciadenoticias.ibge.gov.br/images/agenciadenoticias/ibge/2026_03/agencia-nota-a-sociedade-v2.jpg
